ANL_ANALYSIS_BATCH,BATCH_ID,ANL_SAMPLE,BATCH_ID,BATCH_ID,"ANALYSIS_ID,ANL_SOURCE,SAMPLE_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",RESENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","RESENT_ID,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",RM_INFO_ITEM_CONTENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","INFO_ITEM_SUBTYPE,INFORMATION_ITEM_ID,CONTENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SAMPLE_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","SAMPLE_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SEIS_INSP_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","INSPECTION_ID,INSPECTION_COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SEIS_SET_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","SEIS_SET_SUBTYPE,SEIS_SET_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SEIS_TRANS_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","SEIS_TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SP_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","SPATIAL_DESCRIPTION_ID,SPATIAL_OBS_NO,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",STRAT_UNIT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","STRAT_NAME_SET_ID,STRAT_UNIT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",SUBSTANCE_BA,"ANALYSIS_ID,ANL_SOURCE","SUBSTANCE_ID,ANL_SOURCE","SUBSTANCE_ID,ANL_SOURCE,BA_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",WELL_ACTIVITY_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","UWI,ACTIVITY_SOURCE,ACTIVITY_OBS_NO,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",WELL_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","UWI,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",WELL_MUD_PROPERTY,"ANALYSIS_ID,ANL_SOURCE","SAMPLE_ANALYSIS_ID,SAMPLE_ANALYSIS_SOURCE","SAMPLE_ANALYSIS_ID,SAMPLE_ANALYSIS_SOURCE,PROPERTY_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",WELL_MUD_SAMPLE,"ANALYSIS_ID,ANL_SOURCE","ANL_ID,ANL_SOURCE","ANL_ID,ANL_SOURCE,STEP_SEQ_NO,MUD_ANL_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",WORK_ORDER_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","WORK_ORDER_ID,COMPONENT_ID"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_ACCURACY,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,ACCURACY_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_BA,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,BA_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_COMPONENT,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANL_SOURCE,ANALYSIS_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_DETAIL,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,DETAIL_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_ELEMENTAL,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,ELEMENTAL_ANL_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_ELEMENTAL_DETAIL,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,DETAIL_ANL_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_EQUIP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,EQUIP_OBS_NO"
ANL_ANALYSIS_STEP,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO",ANL_FLUOR,"ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,STEP_SEQ_NO","ANALYSIS_ID,ANL_SOURCE,FLUOR_OBS_NO"
